TransID,Date,AprCode,EmployeeID,StdRate,EmployeeName,Hours,CostCode,Description,BilledAmt,Comments
7881,2013-07-30,110,15,450,Jack Zuniga,1,453,BI - Build,450,BI - Budgeting Build Phase
7888,2013-07-30,110,14,150,Izabella Sellers,2,457,BI - Integration,300,BI - SSIS Package Design
7950,2013-07-31,110,18,300,Jazmin Marks,2,410,AppDev - Technical Spec,600,Develop Technical Specifications
7969,2013-07-31,110,24,150,Maximo Bradley,2,450,BI - Envisioning,300,BI - Envisioning
7995,2013-07-31,110,50,450,Kallie Austin,5,495,App Dev - Project Management,0,App Dev - Project Management
8003,2013-07-31,110,50,450,Kallie Austin,3.5,515,General Infrastructure,1260,Infrastructure Maintenance
8054,2013-08-01,110,12,900,Finley Salazar,3.5,430,AppDev - Quality,0,AC2013
8088,2013-08-01,110,47,300,Joseph Garrison,2,495,App Dev - Project Management,600,App Dev - Project Management
8139,2013-08-02,110,44,300,Gavyn Welch,1.5,415,AppDef - Application Model,450,AppDef-Object Model
8172,2013-08-02,110,14,150,Izabella Sellers,0.5,457,BI - Integration,0,BI - SSIS Package Design
8230,2013-08-03,110,46,150,Jaeden Cowan,0.5,400,AppDev - Design,75,AppDev-Genl Reqmt & Architect
8247,2013-08-03,110,38,150,Brooke Holmes,0.5,450,BI - Envisioning,75,BI - Envisioning
8297,2013-08-04,110,57,150,Lisa Strickland,0.5,190,ERP - Production Support,75,Scripts and TFS project review
8324,2013-08-04,110,17,150,Jayvion Parrish,0.5,405,AppDev - Business Requirements,75,Requirements Definition
8336,2013-08-04,110,38,150,Brooke Holmes,1,450,BI - Envisioning,150,BI - Envisioning
8349,2013-08-04,110,15,450,Jack Zuniga,2,453,BI - Build,900,"New form conversion to PDF form, integrations development, validations, and  deployment"
9306,2012-03-11,110,50,450,Kallie Austin,6,420,AppDev - Build,0,AppDev-Build
9776,2012-03-16,110,12,900,Finley Salazar,7,430,AppDev - Quality,0,AC2012
9915,2012-03-17,110,50,450,Kallie Austin,2,515,General Infrastructure,900,Infrastructure Maintenance
10093,2012-03-19,110,47,300,Joseph Garrison,3.5,457,BI - Integration,1050,BI - SSIS Package Design
10283,2012-03-21,110,47,300,Joseph Garrison,2,457,BI - Integration,600,BI - SSIS Package Design
10284,2012-03-21,110,47,300,Joseph Garrison,1.5,457,BI - Integration,450,BI - SSIS Package Design
10302,2012-03-21,110,34,150,Ashtyn Andrade,2,495,App Dev - Project Management,300,App Dev - Project Management
10335,2012-03-22,110,3,150,Ahmad Haas,1,190,ERP - Production Support,150,ERP - Production Support
10346,2012-03-22,110,12,900,Finley Salazar,7,420,AppDev - Build,0,AC2012
10375,2012-03-22,110,47,300,Joseph Garrison,3.5,457,BI - Integration,1050,BI - SSIS Package Design
10423,2012-03-23,110,3,150,Ahmad Haas,1,190,ERP - Production Support,150,ERP - Production Support
10424,2012-03-23,110,3,150,Ahmad Haas,1,190,ERP - Production Support,150,"Review supplier onboarding, vendor invoice, and pmr processes based on ARR Inc feedback"
10517,2012-03-24,110,3,150,Ahmad Haas,0.5,190,ERP - Production Support,75,ERP - Production Support
10518,2012-03-24,110,3,150,Ahmad Haas,2,190,ERP - Production Support,300,ERP - Production Support
10636,2012-03-25,110,35,150,Azaria Andersen,1,435,AppDev - Documentation,150,Meeting to design SSIS packaGG Partners
10673,2012-03-25,110,16,450,Jair Donovan,6,495,App Dev - Project Management,0,Meeting with Calvin - Login Azure platform for the BI Team
10703,2012-03-26,110,3,150,Ahmad Haas,2,190,ERP - Production Support,300,ERP - Production Support
10768,2012-03-26,110,34,150,Ashtyn Andrade,1,495,App Dev - Project Management,150,App Dev - Project Management
10788,2012-03-27,110,3,150,Ahmad Haas,2,190,ERP - Production Support,300,System process and procedure overview; payroll process and validation/exception reporting
10789,2012-03-27,110,3,150,Ahmad Haas,0.5,190,ERP - Production Support,75,ETL process duplicate customer investigations and remediation
10862,2012-03-27,110,34,150,Ashtyn Andrade,2,495,App Dev - Project Management,300,Investigate css update to master page
10895,2012-03-28,110,3,150,Ahmad Haas,1,190,ERP - Production Support,150,ERP - Production Support
10983,2012-03-29,110,3,150,Ahmad Haas,2.5,190,ERP - Production Support,375,ERP - Production Support
10984,2012-03-29,110,3,150,Ahmad Haas,3,190,ERP - Production Support,450,ERP - Production Support
10985,2012-03-29,110,65,150,Ruth Jacobs,2,190,ERP - Production Support,300,Account data source retrieval development
10986,2012-03-29,110,65,150,Ruth Jacobs,1,190,ERP - Production Support,150,Labor Day
11077,2012-03-30,110,3,150,Ahmad Haas,2.5,190,ERP - Production Support,375,ERP - Production Support
11078,2012-03-30,110,65,150,Ruth Jacobs,1,190,ERP - Production Support,150,ERP - Production Support
11122,2012-03-30,110,58,300,Lorelai Davies,3.5,457,BI - Integration,1050,BI - SSIS Package Design
11195,2013-08-05,110,46,150,Jaeden Cowan,0.5,400,AppDev - Design,75,AppDev-Genl Reqmt & Architect
11285,2013-08-06,110,50,450,Kallie Austin,2.5,405,AppDev - Business Requirements,1125,Requirements Definition
11296,2013-08-06,110,57,150,Lisa Strickland,2,425,AppDev - Testing,300,AppDev-Testing
11305,2013-08-06,110,38,150,Brooke Holmes,2,450,BI - Envisioning,300,BI - Envisioning
11389,2013-08-07,110,17,150,Jayvion Parrish,3,405,AppDev - Business Requirements,450,Requirements Definition
11423,2013-08-07,110,14,150,Izabella Sellers,0.5,457,BI - Integration,75,BI - SSIS Package Design
11498,2013-08-08,110,38,150,Brooke Holmes,2,450,BI - Envisioning,300,BI - Envisioning
11584,2013-08-09,110,29,150,Zariah Francis,0.5,410,AppDev - Technical Spec,75,Update scope documentation
11598,2013-08-09,110,57,150,Lisa Strickland,0.5,425,AppDev - Testing,75,AppDev-Testing
11605,2013-08-09,110,24,150,Maximo Bradley,3.5,450,BI - Envisioning,420,BI - Envisioning
11621,2013-08-09,110,14,150,Izabella Sellers,3.5,457,BI - Integration,420,BI - SSIS Package Design
11670,2013-08-10,110,2,150,Adyson Herring,1.5,190,ERP - Production Support,225,ERP - Production Support
11671,2013-08-10,110,9,150,Donavan Fritz,2.5,190,ERP - Production Support,375,ERP - Production Support
11681,2013-08-10,110,46,150,Jaeden Cowan,2,400,AppDev - Design,300,AppDev-Genl Reqmt & Architect
11700,2013-08-10,110,38,150,Brooke Holmes,2,450,BI - Envisioning,300,BI - Envisioning
11734,2013-08-10,110,68,750,Walter Conner,5.5,495,App Dev - Project Management,0,App Dev - Project Management
11771,2013-08-11,110,61,600,Naomi Blackwell,1,215,CRM - Build Phase,600,"Discuss use cases, content search, and content query web parts"
11777,2013-08-11,110,35,150,Azaria Andersen,1,405,AppDev - Business Requirements,150,Requirements Definition
11787,2013-08-11,110,57,150,Lisa Strickland,3,425,AppDev - Testing,450,Run NAV reports to validate AR Aging amounts
11807,2013-08-11,110,14,150,Izabella Sellers,1,457,BI - Integration,150,BI - SSIS Package Design
11822,2013-08-11,110,12,900,Finley Salazar,6,495,App Dev - Project Management,0,AC2013
11843,2013-08-12,110,57,150,Lisa Strickland,7,190,ERP - Production Support,0,ETL Package development; validation data flow and staging
12065,2013-08-14,110,61,600,Naomi Blackwell,1,215,CRM - Build Phase,600,CRM - Build Phase
12085,2013-08-14,110,24,150,Maximo Bradley,0.5,450,BI - Envisioning,75,BI - Envisioning
12174,2013-08-15,110,24,150,Maximo Bradley,1.5,450,BI - Envisioning,225,BI - Envisioning
12257,2013-08-16,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,CRM - Build Phase
12260,2013-08-16,110,46,150,Jaeden Cowan,2.5,400,AppDev - Design,375,AppDev-Genl Reqmt & Architect
12262,2013-08-16,110,9,150,Donavan Fritz,4,400,AppDev - Design,480,AppDev-Genl Reqmt & Architect
12307,2013-08-16,110,47,300,Joseph Garrison,0.5,495,App Dev - Project Management,150,App Dev - Project Management
12345,2013-08-17,110,9,150,Donavan Fritz,0.5,190,ERP - Production Support,75,ERP - Production Support
12452,2013-08-18,110,61,600,Naomi Blackwell,0.5,215,CRM - Build Phase,300,Update scope documentation
12462,2013-08-18,110,44,300,Gavyn Welch,3,415,AppDef - Application Model,900,AppDef-Object Model
12468,2013-08-18,110,57,150,Lisa Strickland,1,425,AppDev - Testing,150,AppDev-Testing
12490,2013-08-18,110,14,150,Izabella Sellers,2,457,BI - Integration,300,Re-creating Analysis Services Trial Balance in Power Query.
12504,2013-08-18,110,47,300,Joseph Garrison,1,495,App Dev - Project Management,300,App Dev - Project Management
12548,2013-08-19,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,CRM - Build Phase
12552,2013-08-19,110,17,150,Jayvion Parrish,1,405,AppDev - Business Requirements,150,Requirements Definition
12610,2013-08-19,110,50,450,Kallie Austin,1,515,General Infrastructure,450,Infrastructure Maintenance
12619,2013-08-20,110,57,150,Lisa Strickland,1,190,ERP - Production Support,150,ERP - Production Support
12630,2013-08-20,110,9,150,Donavan Fritz,7,190,ERP - Production Support,0,AC2013
12631,2013-08-20,110,18,300,Jazmin Marks,0.5,190,ERP - Production Support,150,Coordinate efforts to remediate ReportServerTempDB growth
12664,2013-08-20,110,24,150,Maximo Bradley,2,450,BI - Envisioning,300,BI - Envisioning
12678,2013-08-20,110,14,150,Izabella Sellers,3,457,BI - Integration,450,BI - SSIS Package Design
12772,2013-08-21,110,24,150,Maximo Bradley,1.5,450,BI - Envisioning,225,BI - Envisioning
12773,2013-08-21,110,68,750,Walter Conner,0.5,450,BI - Envisioning,375,"update Gl Package for description, vendor, etc. Create package to update FC in HR, RV, PJ and GL tables"
12774,2013-08-21,110,68,750,Walter Conner,1,450,BI - Envisioning,750,BI - Envisioning
12790,2013-08-21,110,16,450,Jair Donovan,2,457,BI - Integration,900,BI - SSIS Package Design
12830,2013-08-22,110,2,150,Adyson Herring,2,190,ERP - Production Support,300,ERP - Production Support
12831,2013-08-22,110,6,150,Dane Macdonald,1.5,190,ERP - Production Support,225,ERP - Production Support
12832,2013-08-22,110,9,150,Donavan Fritz,3,190,ERP - Production Support,450,ERP - Production Support
12833,2013-08-22,110,18,300,Jazmin Marks,7,190,ERP - Production Support,0,ERP - Production Support
12838,2013-08-22,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,CRM - Build Phase
12839,2013-08-22,110,61,600,Naomi Blackwell,3,215,CRM - Build Phase,1800,BI Weekly Team Review
12867,2013-08-22,110,24,150,Maximo Bradley,2,450,BI - Envisioning,300,Weekly BI Staff Meeting
12933,2013-08-23,110,6,150,Dane Macdonald,2,190,ERP - Production Support,300,ERP - Production Support
12940,2013-08-23,110,61,600,Naomi Blackwell,1,215,CRM - Build Phase,600,CRM - Build Phase
12941,2013-08-23,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,CRM - Build Phase
12980,2013-08-23,110,16,450,Jair Donovan,2.5,457,BI - Integration,1125,BI - SSIS Package Design
13027,2013-08-24,110,18,300,Jazmin Marks,2.5,190,ERP - Production Support,750,ERP - Production Support
13033,2013-08-24,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,CRM - Build Phase
13051,2013-08-24,110,12,900,Finley Salazar,6,430,AppDev - Quality,0,AC2013
13092,2013-08-24,110,68,750,Walter Conner,1,495,App Dev - Project Management,750,App Dev - Project Management
13122,2013-08-25,110,6,150,Dane Macdonald,3.5,190,ERP - Production Support,420,ERP - Production Support
13123,2013-08-25,110,6,150,Dane Macdonald,1,190,ERP - Production Support,150,ERP - Production Support
13133,2013-08-25,110,61,600,Naomi Blackwell,1,215,CRM - Build Phase,600,CRM - Build Phase
13134,2013-08-25,110,61,600,Naomi Blackwell,2,215,CRM - Build Phase,1200,remediate report issues
13224,2013-08-26,110,2,150,Adyson Herring,2,190,ERP - Production Support,300,Modify workboook for dashboard prototype
13225,2013-08-26,110,6,150,Dane Macdonald,0.5,190,ERP - Production Support,75,ERP - Production Support
13226,2013-08-26,110,6,150,Dane Macdonald,3.5,190,ERP - Production Support,420,"Meeting with key business decision makers to review status report, workflows, and update pmr process"
13227,2013-08-26,110,18,300,Jazmin Marks,1,190,ERP - Production Support,300,ERP - Production Support
13257,2013-08-26,110,68,750,Walter Conner,3,450,BI - Envisioning,1800,BI - Envisioning
13290,2013-08-26,110,47,300,Joseph Garrison,1.5,495,App Dev - Project Management,450,App Dev - Project Management
13318,2013-08-27,110,6,150,Dane Macdonald,1,190,ERP - Production Support,150,Status meeting
13319,2013-08-27,110,18,300,Jazmin Marks,0.5,190,ERP - Production Support,150,SSIS Package development for ETL - dimension packaGG Partners and loading
13339,2013-08-27,110,50,450,Kallie Austin,3.5,405,AppDev - Business Requirements,1260,Requirements Definition
13351,2013-08-27,110,57,150,Lisa Strickland,0.5,430,AppDev - Quality,75,AppDev-Defect Resolution
13419,2013-08-28,110,6,150,Dane Macdonald,1,190,ERP - Production Support,150,ERP - Production Support
13420,2013-08-28,110,6,150,Dane Macdonald,0.5,190,ERP - Production Support,75,Document Datazen mobile dashboard recommendations
13453,2013-08-28,110,24,150,Maximo Bradley,2.5,450,BI - Envisioning,375,BI - Envisioning
13519,2013-08-29,110,6,150,Dane Macdonald,2,190,ERP - Production Support,300,ERP - Production Support
13520,2013-08-29,110,9,150,Donavan Fritz,1.5,190,ERP - Production Support,225,ERP - Production Support
13545,2013-08-29,110,24,150,Maximo Bradley,1,450,BI - Envisioning,150,BI - Envisioning
13563,2013-08-29,110,16,450,Jair Donovan,3.5,457,BI - Integration,1260,BI - SSIS Package Design
13580,2013-08-29,110,68,750,Walter Conner,3,495,App Dev - Project Management,1800,App Dev - Project Management
13581,2013-08-29,110,16,450,Jair Donovan,7,495,App Dev - Project Management,0,App Dev - Project Management
13608,2013-08-30,110,6,150,Dane Macdonald,3.5,190,ERP - Production Support,420,ERP - Production Support
13619,2013-08-30,110,46,150,Jaeden Cowan,2,400,AppDev - Design,300,"Install VS 2013, build XMLify SSIS pipeline object in VS 2013"
13651,2013-08-30,110,14,150,Izabella Sellers,2.5,457,BI - Integration,375,BI - SSIS Package Design
13669,2013-08-30,110,47,300,Joseph Garrison,3.5,495,App Dev - Project Management,840,Update workflows and respond to inquiries
13670,2013-08-30,110,47,300,Joseph Garrison,1,495,App Dev - Project Management,300,App Dev - Project Management
13715,2013-08-31,110,17,150,Jayvion Parrish,2,405,AppDev - Business Requirements,300,Requirements Definition
13724,2013-08-31,110,57,150,Lisa Strickland,3,425,AppDev - Testing,450,Teach Christine how to make project folders
13734,2013-08-31,110,24,150,Maximo Bradley,2,450,BI - Envisioning,300,BI - Envisioning
13795,2013-09-01,110,9,150,Donavan Fritz,3.5,190,ERP - Production Support,420,CAS-24224-C5V4: Prototype solution to open sales rep zone form with data from parent sales rep
13796,2013-09-01,110,18,300,Jazmin Marks,1,190,ERP - Production Support,300,ERP - Production Support
13812,2013-09-01,110,46,150,Jaeden Cowan,1.5,400,AppDev - Design,225,AppDev-Genl Reqmt & Architect
13816,2013-09-01,110,17,150,Jayvion Parrish,2,405,AppDev - Business Requirements,300,"CAS-24453-H6K4: Investigate error when reactivating user, create role in all companies, test role"
13825,2013-09-01,110,57,150,Lisa Strickland,2,430,AppDev - Quality,300,AppDev-Defect Resolution
13829,2013-09-01,110,68,750,Walter Conner,0.5,450,BI - Envisioning,375,BI - Envisioning
13894,2012-03-31,110,3,150,Ahmad Haas,2,190,ERP - Production Support,300,ERP - Production Support
13895,2012-03-31,110,3,150,Ahmad Haas,0.5,190,ERP - Production Support,75,"Update query, modify demo"
13896,2012-03-31,110,31,150,Allie Rocha,3.5,190,ERP - Production Support,525,Meeting with client about general queries and consolidation of reports.
13897,2012-03-31,110,65,150,Ruth Jacobs,1,190,ERP - Production Support,150,Create ARR Inc status report
13988,2012-04-01,110,3,150,Ahmad Haas,0.5,190,ERP - Production Support,75,ERP - Production Support
